MGI Gene/Marker ID,mouseSymbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to reactive oxygen species,"happens in skeletal musculature,happens in skeletal muscle myoblast",,IMP,MGI:2158814 ,J:116698 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to reactive oxygen species,happens in myoblast,,IMP,MGI:2158814 ,J:112583 
MGI:106609,Gpx2,glutathione peroxidase 2,12,,response to oxidative stress,,,IEA,IPR000889 ,J:72247 
MGI:105102,Gpx3,glutathione peroxidase 3,11,,response to oxidative stress,,,IEA,IPR000889 ,J:72247 
MGI:104767,Gpx4,glutathione peroxidase 4,10,,response to oxidative stress,,,IMP,,J:217747 J:255340 
MGI:104886,Gpx5,glutathione peroxidase 5,13,,cellular response to oxidative stress,happens in cauda epididymis|happens in germ cell of testis,,IMP,MGI:4359923 ,J:152563 
MGI:104886,Gpx5,glutathione peroxidase 5,13,,response to oxidative stress,,,IEA,IPR000889 ,J:72247 
MGI:1922762,Gpx6,glutathione peroxidase 6,13,,response to oxidative stress,,,IEA,IPR000889 ,J:72247 
MGI:1914555,Gpx7,glutathione peroxidase 7,4,,response to oxidative stress,,,IEA,IPR000889 IPR013376 ,J:72247 
MGI:1916840,Gpx8,glutathione peroxidase 8 (putative),13,,response to oxidative stress,,,IEA,IPR000889 IPR013376 ,J:72247 
MGI:87940,Grk2,G protein-coupled receptor kinase 2,19,,response to oxidative stress,,,ISO,RGD:2062 ,J:155856 
MGI:1914037,Gskip,GSK3B interacting protein,12,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,ISO,Q9P0R6 ,J:164563 
MGI:95804,Gsr,glutathione reductase,8,,cellular response to oxidative stress,,,IBA,PTN002448883 ,J:265628 
MGI:95865,Gstp1,"glutathione S-transferase, pi 1",19,,response to reactive oxygen species,,,IDA,,J:172907 
MGI:108086,Hdac1,histone deacetylase 1,4,,cellular response to oxidative stress,,,ISO,RGD:1309799 ,J:155856 
MGI:1097691,Hdac2,histone deacetylase 2,10,,cellular response to hydrogen peroxide,,,ISO,RGD:619976 ,J:155856 
MGI:1333752,Hdac6,histone deacetylase 6,X,,cellular response to hydrogen peroxide,,,ISO,Q9UBN7 ,J:164563 
MGI:1333752,Hdac6,histone deacetylase 6,X,,positive regulation of hydrogen peroxide-mediated programmed cell death,,,ISO,Q9UBN7 ,J:164563 
MGI:96079,Hgf,hepatocyte growth factor,5,,negative regulation of hydrogen peroxide-mediated programmed cell death,,,ISO,P14210 ,J:164563 
MGI:106918,Hif1a,"hypoxia inducible factor 1, alpha subunit",12,,negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,,,ISO,Q16665 ,J:164563 
MGI:106918,Hif1a,"hypoxia inducible factor 1, alpha subunit",12,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,"regulates a function/process that happens in fibroblast,regulates Vegfa",,IMP,MGI:2385358 ,J:84384 
MGI:106918,Hif1a,"hypoxia inducible factor 1, alpha subunit",12,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,RGD:61928 ,J:155856 
MGI:106918,Hif1a,"hypoxia inducible factor 1, alpha subunit",12,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,Q16665 ,J:164563 
MGI:2670962,Hk3,hexokinase 3,13,,negative regulation of hydrogen peroxide-mediated programmed cell death,,,ISO,RGD:2798 ,J:155856 
MGI:96163,Hmox1,heme oxygenase 1,8,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,RGD:2806 ,J:155856 
MGI:96163,Hmox1,heme oxygenase 1,8,,response to hydrogen peroxide,,,ISO,RGD:2806 ,J:155856 
MGI:96163,Hmox1,heme oxygenase 1,8,,response to oxidative stress,,,IBA,PTN000076492 ,J:265628 
MGI:96163,Hmox1,heme oxygenase 1,8,,response to oxidative stress,,,ISO,RGD:2806 ,J:155856 
MGI:96163,Hmox1,heme oxygenase 1,8,,response to oxidative stress,,,ISO,P09601 ,J:164563 
MGI:109373,Hmox2,heme oxygenase 2,16,,response to oxidative stress,,,IBA,PTN000076492 ,J:265628 
MGI:109373,Hmox2,heme oxygenase 2,16,,response to oxidative stress,,,ISO,RGD:67402 ,J:155856 
MGI:98504,Hnf1a,HNF1 homeobox A,5,,response to oxidative stress,,,IMP,MGI:2384429 ,J:60083 
MGI:101947,Hnrnpd,heterogeneous nuclear ribonucleoprotein D,5,,cellular response to nitric oxide,,,ISO,RGD:620365 ,J:155856 
MGI:1926465,Hnrnpm,heterogeneous nuclear ribonucleoprotein M,17,,regulation of mRNA stability involved in response to oxidative stress,,,IBA,PTN000543777 ,J:265628 
MGI:96211,Hp,haptoglobin,8,,response to hydrogen peroxide,,,ISO,P00738 ,J:164563 
MGI:96238,Hsf1,heat shock factor 1,15,,cellular response to hydrogen peroxide,,,ISO,RGD:620913 ,J:155856 
MGI:96240,Hspb1,heat shock protein 1,5,,negative regulation of oxidative stress-induced cell death,,,ISO,RGD:61306 ,J:155856 
MGI:96240,Hspb1,heat shock protein 1,5,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,IDA,,J:99082 
MGI:105053,Hsph1,heat shock 105kDa/110kDa protein 1,5,,negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide,,PR:Q61699-1,IMP,,J:143134 
MGI:105053,Hsph1,heat shock 105kDa/110kDa protein 1,5,,negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide,,PR:Q61699-2,IMP,,J:143134 
MGI:1928676,Htra2,HtrA serine peptidase 2,6,,cellular response to oxidative stress,,,IMP,,J:212461 
MGI:1928676,Htra2,HtrA serine peptidase 2,6,,cellular response to oxidative stress,,,ISO,O43464 ,J:164563 
MGI:96298,Hyal1,hyaluronoglucosaminidase 1,9,,response to reactive oxygen species,,,ISO,Q12794 ,J:164563 
MGI:1196334,Hyal2,hyaluronoglucosaminidase 2,9,,response to reactive oxygen species,,,ISO,Q12891 ,J:164563 
MGI:96412,Ide,insulin degrading enzyme,19,,age-dependent response to oxidative stress involved in chronological cell aging,,,IDA,,J:243822 
MGI:96413,Idh1,"isocitrate dehydrogenase 1 (NADP+), soluble",1,,response to oxidative stress,,,IDA,,J:79887 
MGI:96559,Il6,interleukin 6,5,,cellular response to hydrogen peroxide,,,ISO,P05231 ,J:164563 
MGI:96537,Il10,interleukin 10,1,,negative regulation of hydrogen peroxide-induced neuron death,"regulates a function/process that happens in neuron of cerebral cortex,is a part of negative regulation of inflammatory response",,IGI,CPX-1134 ,J:176368 
MGI:1098233,Impact,"impact, RWD domain protein",18,,cellular response to hydrogen peroxide,,,IDA,,J:211861 
MGI:96607,Itgam,integrin alpha M,7,,positive regulation of oxidative stress-induced neuron death,"happens in substantia nigra pars compacta,regulates a function/process that happens in dopaminergic neuron,is a part of cellular response to stress",,IMP,,J:140934 
MGI:96608,Itgav,integrin alpha V,2,,response to nitric oxide,,,TAS,,J:175313 
MGI:96629,Jak2,Janus kinase 2,19,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,ISO,RGD:2939 ,J:155856 
MGI:96629,Jak2,Janus kinase 2,19,,response to hydroperoxide,,,ISO,RGD:2939 ,J:155856 
MGI:96629,Jak2,Janus kinase 2,19,,response to oxidative stress,,,ISO,RGD:2939 ,J:155856 
MGI:96646,Jun,jun proto-oncogene,4,,cellular response to reactive oxygen species,,,ISO,P05412 ,J:164563 
MGI:96668,Kcnc2,"potassium voltage gated channel, Shaw-related subfamily, member 2",10,,cellular response to nitric oxide,,,ISO,RGD:628829 ,J:155856 
MGI:2448492,Kdm6b,KDM1 lysine (K)-specific demethylase 6B,11,,cellular response to hydrogen peroxide,,,IDA,,J:198334 
MGI:1858732,Keap1,kelch-like ECH-associated protein 1,9,,cellular response to oxidative stress,,,IDA,,J:279942 J:279946 
MGI:1858732,Keap1,kelch-like ECH-associated protein 1,9,,cellular response to oxidative stress,,,ISO,Q14145 ,J:164563 
MGI:1100848,Kpna4,karyopherin (importin) alpha 4,3,,response to hydrogen peroxide,happens in testis,,IMP,,J:204120 
MGI:1336997,Lancl1,LanC (bacterial lantibiotic synthetase component C)-like 1,1,,regulation of oxidative stress-induced neuron death,,,IMP,,J:214805 
MGI:96756,Lck,lymphocyte protein tyrosine kinase,4,,response to hydrogen peroxide,,,ISO,RGD:2994 ,J:155856 
MGI:96757,Lcn2,lipocalin 2,2,,cellular response to hydrogen peroxide,,,ISO,RGD:69408 ,J:155856 
MGI:1934604,Lias,lipoic acid synthetase,5,,response to oxidative stress,,,IMP,MGI:3604218 ,J:143405 
MGI:101789,Lig1,"ligase I, DNA, ATP-dependent",7,,response to hydrogen peroxide,has the participant fibroblast,,IMP,,J:170077 
MGI:1921392,Lonp1,"lon peptidase 1, mitochondrial",17,,cellular response to oxidative stress,,,ISO,P36776 ,J:164563 
MGI:1913975,Lrrk2,leucine-rich repeat kinase 2,15,,cellular response to oxidative stress,,,ISO,Q5S007 ,J:164563 
MGI:1913975,Lrrk2,leucine-rich repeat kinase 2,15,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,Q5S007 ,J:164563 
MGI:1913975,Lrrk2,leucine-rich repeat kinase 2,15,,response to oxidative stress,,,ISO,Q5S007 ,J:164563 
MGI:1349392,Macroh2a1,macroH2A.1 histone,13,,negative regulation of response to oxidative stress,,,IMP,,J:238450 
MGI:1349392,Macroh2a1,macroH2A.1 histone,13,,negative regulation of response to oxidative stress,,,ISO,O75367 ,J:164563 
MGI:1349392,Macroh2a1,macroH2A.1 histone,13,,positive regulation of response to oxidative stress,,,IMP,,J:238450 
MGI:1349392,Macroh2a1,macroH2A.1 histone,13,,positive regulation of response to oxidative stress,,,ISO,O75367 ,J:164563 
MGI:1349392,Macroh2a1,macroH2A.1 histone,13,,regulation of response to oxidative stress,,,IMP,,J:238450 
MGI:1349392,Macroh2a1,macroH2A.1 histone,13,,regulation of response to oxidative stress,,,ISO,O75367 ,J:164563 
MGI:1346866,Map2k1,mitogen-activated protein kinase kinase 1,9,,response to oxidative stress,,,ISO,RGD:70495 ,J:155856 
MGI:1346876,Map3k5,mitogen-activated protein kinase kinase kinase 5,10,,cellular response to hydrogen peroxide,,,ISO,Q99683 ,J:164563 
MGI:1346876,Map3k5,mitogen-activated protein kinase kinase kinase 5,10,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IBA,PTN000684887 ,J:265628 
MGI:1346876,Map3k5,mitogen-activated protein kinase kinase kinase 5,10,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IDA,,J:143783 
MGI:1346876,Map3k5,mitogen-activated protein kinase kinase kinase 5,10,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,ISO,Q99683 ,J:164563 
MGI:1346858,Mapk1,mitogen-activated protein kinase 1,16,,cellular response to reactive oxygen species,,,ISO,P28482 ,J:164563 
MGI:1346859,Mapk3,mitogen-activated protein kinase 3,7,,cellular response to reactive oxygen species,,,ISO,P27361 ,J:164563 
MGI:1346347,Mapk7,mitogen-activated protein kinase 7,11,,cellular response to hydrogen peroxide,,,ISO,Q13164 ,J:164563 
MGI:1346347,Mapk7,mitogen-activated protein kinase 7,11,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,Q13164 ,J:164563 
MGI:1346861,Mapk8,mitogen-activated protein kinase 8,14,,cellular response to hydrogen peroxide,,,IDA,,J:198334 
MGI:1346861,Mapk8,mitogen-activated protein kinase 8,14,,cellular response to nitric oxide,happens in fibroblast,,IMP,,J:146389 
MGI:1346861,Mapk8,mitogen-activated protein kinase 8,14,,cellular response to reactive oxygen species,,,ISO,P45983 ,J:164563 
MGI:1346861,Mapk8,mitogen-activated protein kinase 8,14,,response to hydrogen peroxide,,,ISO,RGD:621506 ,J:155856 
MGI:1346862,Mapk9,mitogen-activated protein kinase 9,11,,cellular response to reactive oxygen species,,,ISO,P45984 ,J:164563 
MGI:1346864,Mapk13,mitogen-activated protein kinase 13,17,,cellular response to hydrogen peroxide,,,ISO,O15264 ,J:164563 
MGI:2444554,Mapkap1,mitogen-activated protein kinase associated protein 1,2,,regulation of cellular response to oxidative stress,,,IMP,,J:125618 
MGI:97180,Mapt,microtubule-associated protein tau,11,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,ISO,RGD:69329 ,J:155856 
MGI:96922,Mb,myoglobin,15,,response to hydrogen peroxide,,,ISO,RGD:620411 ,J:155856 
MGI:101769,Mcl1,myeloid cell leukemia sequence 1,3,,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,"happens in primary neuron,happens in brain",,IMP,,J:204747 
MGI:101769,Mcl1,myeloid cell leukemia sequence 1,3,,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,,,ISO,Q07820 ,J:164563 
MGI:1926021,Mctp1,"multiple C2 domains, transmembrane 1",13,,negative regulation of response to oxidative stress,,,ISO,RGD:1305199 ,J:155856 
MGI:1921597,Meak7,"MTOR associated protein , eak-7 homolog",8,,negative regulation of oxidative stress-induced neuron death,,,IDA,,J:230923 
MGI:106924,Melk,maternal embryonic leucine zipper kinase,4,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IDA,,J:143783 
MGI:96969,Met,met proto-oncogene,6,,negative regulation of hydrogen peroxide-mediated programmed cell death,,,ISO,P08581 ,J:164563 
MGI:96969,Met,met proto-oncogene,6,,regulation of cellular response to oxidative stress,,,IMP,MGI:3041135 ,J:204089 
MGI:104532,Mgat3,mannoside acetylglucosaminyltransferase 3,15,,cellular response to oxidative stress,,,IMP,MGI:1857830 ,J:237673 
MGI:1913850,Mgst1,microsomal glutathione S-transferase 1,6,,cellular response to lipid hydroperoxide,,,ISO,P10620 ,J:164563 
MGI:2179989,Mill2,MHC I like leukocyte 2,7,,response to oxidative stress,,,ISO,Q29980 ,J:164563 
MGI:97009,Mmp2,matrix metallopeptidase 2,8,,cellular response to reactive oxygen species,,,IMP,,J:122383 
MGI:97009,Mmp2,matrix metallopeptidase 2,8,,response to hydrogen peroxide,,,ISO,RGD:621316 ,J:155856 
MGI:97009,Mmp2,matrix metallopeptidase 2,8,,response to oxidative stress,,,ISO,RGD:621316 ,J:155856 
MGI:97010,Mmp3,matrix metallopeptidase 3,9,,positive regulation of oxidative stress-induced cell death,,,IMP,,J:211455 
MGI:97011,Mmp9,matrix metallopeptidase 9,2,,cellular response to reactive oxygen species,,,ISO,P14780 ,J:164563 
MGI:97011,Mmp9,matrix metallopeptidase 9,2,,response to oxidative stress,,,ISO,RGD:621320 ,J:155856 
MGI:97137,Mpo,myeloperoxidase,11,,removal of superoxide radicals,has the participant neutrophil,,IMP,MGI:2176344 ,J:53993 
MGI:97137,Mpo,myeloperoxidase,11,,response to oxidative stress,,,IEA,IPR010255 ,J:72247 
MGI:97138,Mpv17,MpV17 mitochondrial inner membrane protein,5,,cellular response to reactive oxygen species,,,IMP,,J:132545 
MGI:106916,Msra,methionine sulfoxide reductase A,14,,cellular response to oxidative stress,,,IBA,PTN000019085 ,J:265628 
MGI:1923717,Msrb2,methionine sulfoxide reductase B2,2,,response to oxidative stress,,,IEA,IPR028427 ,J:72247 
MGI:2443538,Msrb3,methionine sulfoxide reductase B3,10,,response to oxidative stress,,,IEA,IPR028427 ,J:72247 
MGI:97173,Mt3,metallothionein 3,8,,cellular response to oxidative stress,happens in astrocyte|happens in CNS interneuron,,IDA,,J:168048 
MGI:97173,Mt3,metallothionein 3,8,,response to oxidative stress,,,IMP,,J:157210 
MGI:102504,mt-Co1,mitochondrially encoded cytochrome c oxidase I,MT,,response to oxidative stress,,,ISO,RGD:621871 ,J:155856 
MGI:101787,mt-Nd1,mitochondrially encoded NADH dehydrogenase 1,MT,,response to hydroperoxide,,,ISO,RGD:620555 ,J:155856 
MGI:102499,mt-Nd3,mitochondrially encoded NADH dehydrogenase 3,MT,,response to oxidative stress,,,ISO,RGD:620557 ,J:155856 
MGI:101786,Mtf1,metal response element binding transcription factor 1,4,,response to oxidative stress,has the participant fibroblast,,IMP,MGI:2182939 ,J:48216 
MGI:894292,Mtr,5-methyltetrahydrofolate-homocysteine methyltransferase,13,,cellular response to nitric oxide,,,ISO,RGD:621283 ,J:155856 
MGI:1917853,Mutyh,mutY DNA glycosylase,4,,response to oxidative stress,,,ISO,RGD:620045 ,J:155856 
MGI:104592,Myef2,"myelin basic protein expression factor 2, repressor",2,,regulation of mRNA stability involved in response to oxidative stress,,,IBA,PTN000543777 ,J:265628 
MGI:2442664,Naprt,nicotinate phosphoribosyltransferase,15,,response to oxidative stress,,,ISO,Q6XQN6 ,J:164563 
MGI:97283,Ncf1,neutrophil cytosolic factor 1,5,,cellular response to reactive oxygen species,,,ISO,P14598 ,J:164563 
MGI:2444847,Ncoa7,nuclear receptor coactivator 7,10,,negative regulation of cellular response to oxidative stress,,,IDA,,J:230923 
MGI:2444847,Ncoa7,nuclear receptor coactivator 7,10,,negative regulation of oxidative stress-induced neuron death,,,IBA,PTN001156357 ,J:265628 
MGI:2444847,Ncoa7,nuclear receptor coactivator 7,10,,negative regulation of oxidative stress-induced neuron death,,,IDA,,J:230923 
MGI:2444847,Ncoa7,nuclear receptor coactivator 7,10,,response to oxidative stress,,,IBA,PTN001156357 ,J:265628 
MGI:1914380,Ndufa6,NADH:ubiquinone oxidoreductase subunit A6,15,,response to oxidative stress,,,IBA,PTN000311414 ,J:265628 
MGI:1914380,Ndufa6,NADH:ubiquinone oxidoreductase subunit A6,15,,response to oxidative stress,,,ISO,P56556 ,J:164563 
MGI:1913664,Ndufa12,NADH:ubiquinone oxidoreductase subunit A12,10,,response to oxidative stress,,,IBA,PTN000308146 ,J:265628 
MGI:1913664,Ndufa12,NADH:ubiquinone oxidoreductase subunit A12,10,,response to oxidative stress,,,ISO,Q9UI09 ,J:164563 
MGI:2385112,Ndufs2,NADH:ubiquinone oxidoreductase core subunit S2,1,,response to oxidative stress,,,ISO,O75306 ,J:164563 
MGI:2385079,Ndufs8,NADH:ubiquinone oxidoreductase core subunit S8,19,,response to oxidative stress,,,ISO,O00217 ,J:164563 
MGI:1920024,Neil1,nei endonuclease VIII-like 1 (E. coli),9,,response to oxidative stress,,,ISO,Q96FI4 ,J:164563 
MGI:1927138,Net1,neuroepithelial cell transforming gene 1,13,,cellular response to hydrogen peroxide,,,ISO,Q7Z628 ,J:164563 
MGI:99421,Nfe2l1,"nuclear factor, erythroid derived 2,-like 1",11,,cellular response to oxidative stress,,,IDA,,J:252061 J:276393 
MGI:108420,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",2,,cellular response to hydrogen peroxide,,,ISO,Q16236 ,J:164563 
MGI:108420,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",2,,cellular response to oxidative stress,,,IBA,PTN002813768 ,J:265628 
MGI:108420,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",2,,cellular response to oxidative stress,,,IDA,,J:41943 J:166919 
MGI:108420,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",2,,cellular response to oxidative stress,,,IMP,MGI:2385925 ,J:168404 
MGI:108420,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",2,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,Q16236 ,J:164563 
MGI:108420,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",2,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,Q16236 ,J:164563 
MGI:108420,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",2,,positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,RGD:620360 ,J:155856 
MGI:108420,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",2,,regulation of removal of superoxide radicals,,,IMP,,J:166919 
MGI:97312,Nfkb1,"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105",3,,response to oxidative stress,,,ISO,RGD:70498 ,J:155856 
MGI:2151886,Ngb,neuroglobin,12,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,RGD:621461 ,J:155856 
MGI:97323,Ngfr,"nerve growth factor receptor (TNFR superfamily, member 16)",11,,cellular response to oxidative stress,,,ISO,RGD:3177 ,J:155856 
MGI:1922783,Nme5,NME/NM23 family member 5,18,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,IBA,PTN000887019 ,J:265628 
MGI:1922783,Nme5,NME/NM23 family member 5,18,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,IDA,,J:84025 
MGI:1922783,Nme5,NME/NM23 family member 5,18,,response to reactive oxygen species,,,NAS,,J:84025 
MGI:1920662,Nme8,NME/NM23 family member 8,13,,cellular response to reactive oxygen species,happens in sperm,,IGI,MGI:2389312 ,J:205172 
MGI:1925938,Nol3,nucleolar protein 3 (apoptosis repressor with CARD domain),8,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,RGD:708558 ,J:155856 
MGI:1925938,Nol3,nucleolar protein 3 (apoptosis repressor with CARD domain),8,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,O60936 ,J:164563 
MGI:1855692,Nono,"non-POU-domain-containing, octamer binding protein",X,,negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,,,ISO,Q15233 ,J:164563 
MGI:97362,Nos3,"nitric oxide synthase 3, endothelial cell",5,,removal of superoxide radicals,,,ISO,P29474 ,J:164563 
MGI:2450016,Nox1,NADPH oxidase 1,X,,positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,regulates a function/process that happens in lung,,IMP,MGI:3616995 ,J:167959 
MGI:2450016,Nox1,NADPH oxidase 1,X,,response to reactive oxygen species,,,ISO,RGD:620598 ,J:155856 
MGI:103187,Nqo1,"NAD(P)H dehydrogenase, quinone 1",8,,cellular response to hydrogen peroxide,,,ISO,RGD:2503 ,J:155856 
MGI:103187,Nqo1,"NAD(P)H dehydrogenase, quinone 1",8,,response to oxidative stress,,,IMP,MGI:2388490 ,J:93514 
MGI:1352456,Nr4a2,"nuclear receptor subfamily 4, group A, member 2",2,,cellular response to oxidative stress,happens in neuron,,IMP,,J:162076 
MGI:1352457,Nr4a3,"nuclear receptor subfamily 4, group A, member 3",4,,negative regulation of hydrogen peroxide-induced neuron death,,,IMP,,J:162076 
MGI:1352457,Nr4a3,"nuclear receptor subfamily 4, group A, member 3",4,,negative regulation of oxidative stress-induced neuron death,,,IGI,Q06219 ,J:162076 
MGI:1352457,Nr4a3,"nuclear receptor subfamily 4, group A, member 3",4,,response to hydrogen peroxide,has the participant neuron,,IMP,,J:162076 
MGI:2443366,Nudt15,nudix (nucleoside diphosphate linked moiety X)-type motif 15,14,,response to reactive oxygen species,,,IDA,,J:83864 
MGI:1097693,Ogg1,8-oxoguanine DNA-glycosylase 1,6,,response to oxidative stress,,,ISO,O15527 ,J:164563 
MGI:1913930,Oser1,oxidative stress responsive serine rich 1,2,,cellular response to hydrogen peroxide,,,IBA,PTN001264638 ,J:265628 
MGI:1913930,Oser1,oxidative stress responsive serine rich 1,2,,cellular response to hydrogen peroxide,,,ISO,RGD:1303142 ,J:155856 
MGI:2179326,Oxr1,oxidation resistance 1,15,,cellular response to hydroperoxide,,,IMP,MGI:4330699 ,J:177995 
MGI:2179326,Oxr1,oxidation resistance 1,15,,negative regulation of cellular response to oxidative stress,,,IDA,,J:230923 
MGI:2179326,Oxr1,oxidation resistance 1,15,,negative regulation of oxidative stress-induced neuron death,,,IBA,PTN001156357 ,J:265628 
MGI:2179326,Oxr1,oxidation resistance 1,15,,negative regulation of oxidative stress-induced neuron death,,,IDA,,J:230923 
MGI:2179326,Oxr1,oxidation resistance 1,15,,negative regulation of oxidative stress-induced neuron death,,,IMP,,J:230923 
MGI:2179326,Oxr1,oxidation resistance 1,15,,response to oxidative stress,,,IBA,PTN001156357 ,J:265628 
MGI:1917378,Oxsr1,oxidative-stress responsive 1,9,,response to oxidative stress,,,IDA,,J:80982 
MGI:97464,P4hb,"prolyl 4-hydroxylase, beta polypeptide",11,,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,P07237 ,J:164563 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,cellular response to hydrogen peroxide,,,IMP,,J:97366 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,cellular response to hydrogen peroxide,,,ISO,Q99497 ,J:164563 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,cellular response to oxidative stress,,,IMP,,J:168618 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,cellular response to oxidative stress,,,ISO,Q99497 ,J:164563 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,cellular response to reactive oxygen species,,,IMP,MGI:3579140 ,J:111114 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,Q99497 ,J:164563 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,negative regulation of hydrogen peroxide-induced neuron death,happens in neuron of cerebral cortex,,IMP,,J:211328 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,negative regulation of hydrogen peroxide-induced neuron death,,,ISO,Q99497 ,J:164563 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,,,IMP,,J:217286 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,,,ISO,Q99497 ,J:164563 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,negative regulation of oxidative stress-induced cell death,,,ISO,Q99497 ,J:164563 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,negative regulation of oxidative stress-induced neuron death,,,IMP,,J:211627 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,,,ISO,Q99497 ,J:164563 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,IMP,,J:204791 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,positive regulation of superoxide dismutase activity,,,ISO,Q99497 ,J:164563 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,response to hydrogen peroxide,"has the participant cerebral cortex,has the participant CNS neuron (sensu Vertebrata)",,IDA,,J:97366 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,response to hydrogen peroxide,"has the participant cerebral cortex,has the participant CNS neuron (sensu Vertebrata)",,IMP,MGI:3576227 ,J:97366 
MGI:2135637,Park7,"Parkinson disease (autosomal recessive, early onset) 7",4,,response to oxidative stress,,,ISO,RGD:621808 ,J:155856 
MGI:1340806,Parp1,"poly (ADP-ribose) polymerase family, member 1",1,,cellular response to oxidative stress,,,ISO,P09874 ,J:218220 
MGI:1340806,Parp1,"poly (ADP-ribose) polymerase family, member 1",1,,cellular response to superoxide,,,IDA,,J:202975 
MGI:1340806,Parp1,"poly (ADP-ribose) polymerase family, member 1",1,,regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,,,ISO,RGD:2053 ,J:155856 
MGI:2149961,Pawr,"PRKC, apoptosis, WT1, regulator",10,,positive regulation of hydrogen peroxide-mediated programmed cell death,happens in fibroblast of cardiac tissue,,IMP,,J:223262 
MGI:99161,Pcgf2,polycomb group ring finger 2,11,,cellular response to hydrogen peroxide,,,IDA,,J:198334 
